Id,Name,Type,Rarity,Introduction,skillGemParam ID
1197,Odogaron Lash,Material,rare10,"Very rare Odogaron material. Obtained by carving its severed tail. Stiff, used to craft gear.",
1198,Odogaron Mantle,Material,rare11,Very rare Odogaron material. Used to craft weapons powerful enough to take over the world.,
1199,Ebony Odogaron Shard,Material,rare10,Very rare Ebony Odogaron material. Mostly obtained by carving. Broadly used for many purposes.,
1200,Hard Ebony Odogaron Sinew,Material,rare10,"Very rare Ebony Odogaron material. Mostly obtained as a reward. Solid, used to craft gear.",
1201,Ebony Odogaron Hardclaw,Material,rare10,"Very rare Ebony Odogaron material. Obtained by breaking its forelegs. Sharp, used in many weapons.",
1202,Ebony Odogaron Hardfang,Material,rare10,"Very rare Ebony Odogaron material. Obtained by breaking its head. Sharp, used in many weapons.",
1203,Ebony Odogaron Lash,Material,rare10,"Very rare Ebony Odogaron material. Obtained by carving its severed tail. Stiff, used to craft gear.",
1204,Ebony Odogaron Mantle,Material,rare11,Very rare Ebony Odogaron material. Used to craft weapons powerful enough to take over the world.,
1205,Rathalos Shard,Material,rare10,Very rare Rathalos material. Mostly obtained by carving. Broadly used for many purposes.,
1206,Rathalos Cortex,Material,rare10,"Very rare Rathalos material. Mostly obtained as a reward. Solid, used to craft gear.",
1207,Rathalos Fellwing,Material,rare10,"Very rare Rathalos material. Obtained by breaking its wings. Supple, used to craft gear.",
1208,Rathalos Lash,Material,rare10,Very rare Rathalos material. Obtained by carving its severed tail. Compatible with fire element.,
1209,Rath Wingtalon+,Material,rare10,Very rare material from Rathian and Rathalos. Obtained by breaking its wings.,
1210,Rathalos Mantle,Material,rare11,Very rare Rathalos material. Used to craft weapons powerful enough to take over the world.,
1211,Azure Rathalos Shard,Material,rare10,Very rare Azure Rathalos material. Mostly obtained by carving. Broadly used for many purposes.,
1212,Azure Rathalos Cortex,Material,rare10,"Very rare Azure Rathalos material. Mostly obtained as a reward. Solid, used to craft gear.",
1213,Azure Rathalos Lash,Material,rare10,Very rare Azure Rathalos material. Obtained by carving its severed tail. Compatible with fire element.,
1214,Azure Rathalos Fellwing,Material,rare10,"Very rare Azure Rathalos material. Obtained by breaking its wings. Supple, used to craft gear.",
1215,Silver Rathalos Shard,Material,rare11,Very rare Silver Rathalos material. Mostly obtained by carving. Broadly used for many purposes.,
1216,Silver Rathalos Cortex,Material,rare11,"Very rare Silver Rathalos material. Mostly obtained as a reward. Solid, used to craft gear.",
1217,Silver Rathalos Fellwing,Material,rare11,"Very rare Silver Rathalos material. Obtained by breaking its wings. Supple, used to craft gear.",
1218,Silver Rathalos Lash,Material,rare11,Very rare Silver Rathalos material. Obtained by carving its severed tail. Compatible with fire element.,
1219,Rath Gleam,Material,rare11,Very rare material from Rathian or Rathalos. Obtained by breaking the head.,
1220,Diablos Cortex,Material,rare10,Very rare Diablos material. Mostly obtained by carving. Broadly used for many purposes.,
1221,Diablos Chine,Material,rare10,"Very rare Diablos material. Mostly obtained as a reward. Solid, used to craft gear.",
1222,Diablos Tailcase+,Material,rare10,"Very rare Diablos material. Obtained by carving its severed tail. Sturdy, but difficult to handle.",
1223,Twisted Stouthorn,Material,rare10,"Very rare Diablos material. Obtained by breaking its horns. Stout, used in many weapons.",
1224,Diablos Hardhorn,Material,rare11,Very rare material from Diablos and its subspecies. Obtained by breaking its horns.,
1225,Black Diablos Cortex,Material,rare10,Very rare Black Diablos material. Mostly obtained by carving. Broadly used for many purposes.,
1226,Black Diablos Chine,Material,rare10,"Very rare Black Diablos material. Mostly obtained as a reward. Solid, used to craft gear.",
1227,Blackcurl Stouthorn,Material,rare10,"Very rare Black Diablos material. Obtained by breaking its horns. Stout, used in many weapons.",
1228,Dodogama Shard,Material,rare9,Very rare Dodogama material. Mostly obtained by carving. Broadly used for many purposes.,
1229,Dodogama Thickhide,Material,rare9,"Very rare Dodogama material. Mostly obtained as a reward. Supple, used to craft gear.",
1230,Dodogama Mandible,Material,rare9,Very rare Dodogama material. Obtained by breaking its head. Unusual and difficult to handle.,
1231,Dodogama Hardclaw,Material,rare9,"Very rare Dodogama material. Obtained by breaking its forelegs. Heavy, used in many weapons.",
1232,Dodogama Lash,Material,rare9,"Very rare Dodogama material. Obtained by carving its severed tail. Tough, used in many weapons.",
1233,Lavasioth Shard,Material,rare10,Very rare Lavasioth material. Mostly obtained by carving. Broadly used for many purposes.,
1234,Lavasioth Cortex,Material,rare10,"Very rare Lavasioth material. Mostly obtained as a reward. Solid, used to craft gear.",
1235,Lavasioth Hardfang,Material,rare10,"Very rare Lavasioth material. Obtained by breaking its head. Sharp, used in many weapons.",
1236,Lavasioth Grandfin,Material,rare10,Very rare Lavasioth material. Obtained by breaking its dorsal fin. Used for many purposes.,
1237,Uragaan Shard,Material,rare10,Very rare Uragaan material. Mostly obtained by carving. Broadly used for many purposes.,
1238,Uragaan Cortex,Material,rare10,"Very rare Uragaan material. Mostly obtained as a reward. Solid, used to craft gear.",
1239,Uragaan Jaw+,Material,rare10,"Very rare Uragaan material. Obtained from breaking its jaw. Unusual, used in select gear.",
1240,Uragaan Scute+,Material,rare10,"Very rare Uragaan material. Obtained by carving its severed tail. Highly heat-resistant, used to craft gear.",
1241,Uragaan Pallium,Material,rare11,Very rare Uragaan material. Used to craft weapons powerful enough to take over the world.,
1242,Barioth Cortex,Material,rare10,"Very rare Barioth material. Mostly obtained by carving. Solid, used to craft gear.",
1243,Barioth Thickfur,Material,rare10,Very rare Barioth material. Mostly obtained as a reward. Broadly used for many purposes.,
1244,Barioth Hardclaw,Material,rare10,"Very rare Barioth material. Obtained as a reward and by carving. Sharp, used in many weapons.",
1245,Barioth Greatspike,Material,rare10,"Very rare Barioth material. Obtained by breaking its wings. Tough, used in many weapons.",
1246,Barioth Lash,Material,rare10,"Very rare Barioth material. Obtained by carving its severed tail. Stiff, used to craft gear.",
1247,Amber Hardfang,Material,rare10,"Very rare Barioth material. Obtained by breaking its head. Sharp, used in many weapons.",
1248,Nargacuga Shard,Material,rare10,"Very rare Nargacuga material. Mostly obtained by carving. Solid, used to craft gear.",
1249,Nargacuga Blackfur+,Material,rare10,"Very rare Nargacuga material. Mostly obtained as a reward. Solid, used to craft gear.",
1250,Nargacuga Lash,Material,rare10,"Very rare Nargacuga material. Obtained by carving its severed tail. Stiff, used to craft gear.",
1251,Nargacuga Tailspear,Material,rare10,Very rare Nargacuga material. Obtained by collecting rare drops. Broadly used for many purposes.,
1252,Nargacuga Cutwing+,Material,rare10,"Very rare Nargacuga material. Obtained by breaking its wings. Sharp, used in many weapons.",
1253,Nargacuga Hardfang,Material,rare10,"Very rare Nargacuga material. Obtained by breaking its head. Tough, used in many weapons.",
1254,Nargacuga Mantle,Material,rare11,Very rare Nargacuga material. Used to craft weapons powerful enough to take over the world.,
1255,Tigrex Shard,Material,rare10,Very rare Tigrex material. Mostly obtained by carving. Broadly used for many purposes.,
1256,Tigrex Cortex,Material,rare10,"Very rare Tigrex material. Mostly obtained as a reward. Solid, used to craft gear.",
1257,Tigrex Lash,Material,rare10,"Very rare Tigrex material. Obtained by carving its severed tail. Stiff, used to craft gear.",
1258,Tigrex Hardclaw,Material,rare10,"Very rare Tigrex material. Obtained by breaking its forelegs. Sharp, used in many weapons.",
1259,Tigrex Hardfang,Material,rare10,"Very rare Tigrex material. Obtained by breaking its head. Sharp, used in many weapons.",
1260,Tigrex Mantle,Material,rare11,Very rare Tigrex material. Used to craft weapons powerful enough to take over the world.,
1261,Brute Tigrex Shard,Material,rare10,Very rare Brute Tigrex material. Mostly obtained by carving. Broadly used for many purposes.,
1262,Brute Tigrex Cortex,Material,rare10,"Very rare Brute Tigrex material. Mostly obtained as a reward. Solid, used to craft gear.",
1263,Brute Tigrex Hardclaw,Material,rare10,Very rare Brute Tigrex material. Obtained by breaking its forelegs. Used in many weapons.,
1264,Brute Tigrex Hardfang,Material,rare10,Very rare Brute Tigrex material. Obtained by breaking its head. Used in many weapons.,
1265,Glavenus Shard,Material,rare10,"Very rare Glavenus material. Mostly obtained by carving. Solid, used to craft gear.",
1266,Glavenus Cortex,Material,rare10,"Very rare Glavenus material. Mostly obtained as a reward. Solid, used to craft gear.",
1267,Glavenus Hardfang,Material,rare10,"Very rare Glavenus material. Obtained by breaking its head. Sharp, used in many weapons.",
1268,Glavenus Hellshell,Material,rare10,"Very rare Glavenus material. Obtained by breaking its back. Highly heat-resistant, used to craft gear.",
1269,Glavenus Tailedge,Material,rare10,"Very rare Glavenus material. Obtained by carving its severed tail. Stiff, used to craft gear.",
1270,Molten Bursa,Material,rare10,"Very rare Glavenus material. Obtained by collecting rare drops. Unusual, used to craft gear.",
1271,Glavenus Mantle,Material,rare11,Very rare Glavenus material. Used to craft weapons powerful enough to take over the world.,
1272,Acidic Glavenus Shard,Material,rare10,"Very rare Acidic Glavenus material. Mostly obtained by carving. Solid, used to craft gear.",
1273,Acidic Glavenus Cortex,Material,rare10,"Very rare Acidic Glavenus material. Mostly obtained as a reward. Solid, used to craft gear.",
1274,Acidic Glavenus Hardfang,Material,rare10,Very rare Acidic Glavenus material. Obtained by breaking its head. Used in many weapons.,
1275,Acidic Glavenus Spineshell,Material,rare10,Very rare Acidic Glavenus material. Obtained by breaking its back. Often used to craft gear.,
1276,Acidic Glavenus Tailedge,Material,rare10,Very rare Acidic Glavenus material. Obtained by carving its severed tail. Used to craft gear.,
1277,Honed Acidcryst,Material,rare10,"Very rare Acidic Glavenus material. Obtained by collecting rare drops. Unusual, used to craft gear.",
1278,Unavailable,Normal,rare4,Unavailable,
1279,Brachydios Cortex,Material,rare10,Very rare Brachydios material. Mostly obtained by carving. Broadly used for many purposes.,
1280,Fine Brachydios Ebonshell,Material,rare10,"Very rare Brachydios material. Mostly obtained as a reward. Solid, used to craft gear.",
1281,Brachydios Crown,Material,rare10,"Very rare Brachydios material. Obtained by breaking its head. Tough, used in many weapons.",
1282,Glowing Slime,Material,rare10,"Very rare Brachydios material. Obtained by collecting rare drops. Highly dense, used for many purposes.",
1283,Brachydios Pounder+,Material,rare10,"Very rare Brachydios material. Obtained by breaking its forelimbs. Tough, used to craft gear.",
1284,Brachydios Lash,Material,rare10,"Very rare Brachydios material. Obtained by carving its severed tail. Stiff, used to craft gear.",
1285,Brachydios Pallium,Material,rare11,Very rare Brachydios material. Used to craft weapons powerful enough to take over the world.,
1286,Unavailable,Normal,rare4,Unavailable,
1287,Unavailable,Normal,rare4,Unavailable,
1288,Unavailable,Normal,rare4,Unavailable,
1289,Unavailable,Normal,rare4,Unavailable,
1290,Garuga Shard,Material,rare10,Very rare Yian Garuga material. Mostly obtained by carving. Broadly used for many purposes.,
1291,Garuga Cortex,Material,rare10,"Very rare Yian Garuga material. Mostly obtained as a reward. Solid, used to craft gear.",
1292,Garuga Auricle,Material,rare10,"Very rare Yian Garuga material. Obtained by breaking its head. Supple, used to craft gear.",
1293,Fancy Beak,Material,rare10,"Very rare Yian Garuga material. Obtained by breaking its head. Stout, used in many weapons.",
1294,Garuga Fellwing,Material,rare10,"Very rare Yian Garuga material. Obtained by breaking its wings. Supple, used to craft gear.",
1295,Garuga Lash,Material,rare10,"Very rare Yian Garuga material. Obtained by carving its severed tail. Stiff, used to craft gear.",
1296,Garuga Silverpelt,Material,rare10,Very rare Yian Garuga material. Obtained by breaking its back. Used for many purposes.,
1297,Zinogre Cortex,Material,rare9,"Very rare Zinogre material. Mostly obtained as a reward. Solid, used to craft gear.",
1298,Zinogre Electrofur+,Material,rare9,"Very rare Zinogre material. Mostly obtained as a reward. Solid, used to craft gear.",
1299,Zinogre Hardhorn,Material,rare9,"Very rare Zinogre material. Obtained by breaking its head. Stout, used in many weapons.",
1300,Zinogre Hardclaw,Material,rare9,"Very rare Zinogre material. Obtained by breaking its forelegs. Sharp, used in many weapons.",
1301,Zinogre Lash,Material,rare9,"Very rare Zinogre material. Obtained by carving its severed tail. Stiff, used to craft gear.",
1302,Zinogre Deathly Shocker,Material,rare9,Very rare Zinogre material. Mostly obtained by carving. Compatible with thunder element.,
1303,Fulgurbug,Material,rare10,"Very rare Zinogre material, obtained with capture net while it's toppled. Compatible with thunder element.",
1304,Zinogre Skymerald,Material,rare11,Very rare Zinogre material. Used to craft weapons powerful enough to take over the world.,
1305,Unavailable,Normal,rare4,Unavailable,
1306,Unavailable,Normal,rare4,Unavailable,
1307,Unavailable,Normal,rare4,Unavailable,
1308,Unavailable,Normal,rare4,Unavailable,
1309,Unavailable,Normal,rare4,Unavailable,
1310,Unavailable,Normal,rare4,Unavailable,
1311,Unavailable,Normal,rare4,Unavailable,
1312,Unavailable,Normal,rare4,Unavailable,
1313,Bazelgeuse Shard,Material,rare11,Very rare Seething Bazelgeuse material. Mostly obtained by carving. Used for many purposes.,
1314,Flickering Silvershell,Material,rare11,"Very rare Seething Bazelgeuse material. Mostly obtained as a reward. Solid, used to craft gear.",
1315,Bazelgeuse Flail,Material,rare11,Very rare Seething Bazelgeuse material. Obtained by carving its severed tail. Used to craft gear.,
1316,Distilled Blast Fluid,Material,rare11,Very rare Seething Bazelgeuse material. Obtained by breaking its head. Compatible with blast element.,
1317,Bazelgeuse Hardclaw,Material,rare11,Very rare Seething Bazelgeuse material. Mostly obtained by carving. Compatible with blast element.,
1318,Scorching Silverwing,Material,rare11,Very rare Seething Bazelgeuse material. Obtained by breaking its wings. Used in many weapons.,
1319,Bazelgeuse Mantle,Material,rare11,Very rare Seething Bazelgeuse material. Used to craft weapons powerful enough to take over the world.,
1320,Deviljho Shard,Material,rare11,Very rare Savage Deviljho material. Mostly obtained by carving. Broadly used for many purposes.,
1321,Deviljho Blackpiel,Material,rare11,"Very rare Savage Deviljho material. Mostly obtained as a reward. Tough, used to craft gear.",
1322,Unavailable,Normal,rare4,Unavailable,
1323,Vile Fang,Material,rare11,Very rare Savage Deviljho material. Obtained by breaking its head. Used in many weapons.,
1324,Deviljho Ripper,Material,rare11,Very rare Savage Deviljho material. Mostly obtained by carving. Compatible with dragon element.,
1325,Deviljho Flail,Material,rare11,Very rare Savage Deviljho material. Obtained by carving its severed tail. Used to craft gear.,
1326,Black Blood,Material,rare11,Very rare Savage Deviljho material. Obtained by collecting rare drops. Unusual and difficult to handle.,
1327,Deviljho Crook,Material,rare11,Very rare Savage Deviljho material. Used to craft weapons powerful enough to take over the world.,
1328,Unavailable,Normal,rare4,Unavailable,
1329,Unavailable,Normal,rare4,Unavailable,
1330,Unavailable,Normal,rare4,Unavailable,
1331,Unavailable,Normal,rare4,Unavailable,
1332,Unavailable,Normal,rare4,Unavailable,
1333,Unavailable,Normal,rare4,Unavailable,
1334,Unavailable,Normal,rare4,Unavailable,
1335,Unavailable,Normal,rare4,Unavailable,
1336,Unavailable,Normal,rare4,Unavailable,
1337,Kirin Finehide,Material,rare11,Very rare Kirin material. Mostly obtained by carving. Broadly used for many purposes.,
1338,Kirin Thundertail+,Material,rare11,Very rare Kirin material. Mostly obtained as a reward. Compatible with thunder element.,
1339,Kirin Silvermane,Material,rare11,"Very rare Kirin material. Mostly obtained by carving. Highly thunder-resistant, used to craft gear.",
1340,Kirin Azure Horn+,Material,rare11,Very rare Kirin material. Obtained by breaking its horn. Grants thunder element properties.,
1341,Immortal Shard,Material,rare11,Very rare Ruiner Nergigante material. Mostly obtained by carving. Broadly used for many purposes.,
1342,Nergigante Cortex,Material,rare11,"Very rare Ruiner Nergigante material. Mostly obtained as a reward. Solid, used to craft gear.",
1343,Nergigante Flail,Material,rare11,"Very rare Ruiner Nergigante material. Obtained by carving its severed tail. Stiff, used to craft gear.",
1344,Annihilating Greathorn,Material,rare11,"Very rare Ruiner Nergigante material. Obtained by breaking its horns. Stout, used in many weapons.",
1345,Nergigante Hardclaw,Material,rare11,"Very rare Ruiner Nergigante material. Mostly obtained by carving. Sharp, used in many weapons.",
1346,Eternal Regrowth Plate,Material,rare11,"Very rare Ruiner Nergigante material. Obtained by collecting rare drops. Unusual, used to craft gear.",
1347,Crystal Shard,Material,rare11,Very rare Velkhana material. Mostly obtained by carving. Broadly used for many purposes.,
1348,Velkhana Cortex,Material,rare11,"Very rare Velkhana material. Mostly obtained as a reward. Solid, used to craft gear.",
1349,Velkhana Fellwing,Material,rare11,"Very rare Velkhana material. Obtained by breaking its wings. Supple, used to craft gear.",
1350,Velkhana Crownhorn,Material,rare11,"Very rare Velkhana material. Obtained by breaking its head. Stout, used in many weapons.",
1351,Velkhana Lash,Material,rare11,"Very rare Velkhana material. Obtained by carving its severed tail. Stiff, used to craft gear.",
1352,Velkhana Hardclaw,Material,rare11,"Very rare Velkhana material. Obtained by collecting rare drops. Sharp, used in many weapons.",
1353,Velkhana Crystal,Material,rare12,Very rare Velkhana material. Used to craft weapons powerful enough to take over the world.,
1354,Teostra Cortex,Material,rare11,"Very rare Teostra material. Mostly obtained as a reward. Solid, used to craft gear.",
1355,Teostra Mane+,Material,rare11,Very rare Teostra material. Obtained by breaking its head. Highly fire-resistant.,
1356,Teostra Lash,Material,rare11,Very rare Teostra material. Obtained by carving its severed tail. Used to craft gear.,
1357,Teostra Hardhorn,Material,rare11,Very rare Teostra material. Obtained by breaking its head. Used in many weapons.,
1358,Hellfire Shard,Material,rare11,Very rare Teostra material. Mostly obtained by carving. Broadly used for many purposes.,
1359,Fire Dragon Hardclaw,Material,rare11,"Very rare Teostra material. Mostly obtained by carving. Sharp, used in many weapons.",
1360,Teostra Fellwing,Material,rare11,Very rare Teostra material. Obtained by breaking its wings. Used to craft gear.,
1361,Lunastra Cortex,Material,rare11,"Very rare Lunastra material. Mostly obtained as a reward. Solid, used to craft gear.",
1362,Lunastra Mane+,Material,rare11,"Very rare Lunastra material. Obtained by collecting rare drops. Valuable, fire resistant material.",
1363,Lunastra Lash,Material,rare11,Very rare Lunastra material. Obtained by carving its severed tail. Used to craft gear.,
1364,Lunastra Hardhorn,Material,rare11,Very rare Lunastra material. Obtained by breaking its head. Used in many weapons.,
1365,Lunastra Shard,Material,rare11,Very rare Lunastra material. Mostly obtained by carving. Used for many purposes.,
1366,Lunastra Fellwing,Material,rare11,Very rare Lunastra material. Obtained by breaking its wings. Used to craft gear.,
1367,Daora Cortex,Material,rare11,"Very rare Kushala Daora material. Mostly obtained as a reward. Solid, used to craft gear.",
1368,Daora Shard,Material,rare11,Very rare Kushala Daora material. Mostly obtained by carving. Broadly used for many purposes.,
1369,Daora Fellwing,Material,rare11,"Very rare Kushala Daora material. Obtained by breaking its wings. Lightweight, used to craft gear.",
1370,Daora Hardhorn,Material,rare11,"Very rare Kushala Daora material. Obtained by breaking its head. Stout, used in many weapons.",
1371,Daora Lash,Material,rare11,"Very rare Kushala Daora material. Obtained by carving its severed tail. Stiff, used to craft gear.",
1372,Daora Hardclaw,Material,rare11,Very rare Kushala Daora material. Mostly obtained by carving. Imbued with potent ice element.,
1373,Deceased Shard,Material,rare11,Very rare Blackveil Vaal Hazak material. Mostly obtained by carving. Used for many purposes.,
1374,Vaal Hazak Cortex,Material,rare11,"Very rare Blackveil Vaal Hazak material. Mostly obtained as a reward. Solid, used to craft gear.",
1375,Deathweaver Membrane,Material,rare11,Very rare Blackveil Vaal Hazak material. Obtained from rare drops. Grants dragon element properties.,
1376,Vaal Hazak Flail,Material,rare11,Very rare Blackveil Vaal Hazak material. Obtained by carving its severed tail. Used to craft gear.,
1377,Shadowpierce Fang,Material,rare11,Very rare Blackveil Vaal Hazak material. Obtained by breaking its head. Used in many weapons.,
1378,Vaal Hazak Hardclaw,Material,rare11,Very rare Blackveil Vaal Hazak material. Obtained by breaking its forelegs. Used in many weapons.,
1379,Vaal Hazak Fellwing,Material,rare11,Very rare Blackveil Vaal Hazak material. Obtained by breaking its torso. Used to craft gear.,
1380,Namielle Finehide,Material,rare11,Very rare Namielle material. Mostly obtained by carving. Broadly used for many purposes.,
1381,Unavailable,Normal,rare4,Unavailable,
1382,Namielle Fellwing,Material,rare11,"Very rare Namielle material. Obtained by breaking its wings. Supple, used to craft gear.",
1383,Namielle Whisker,Material,rare11,Very rare Namielle material. Obtained by breaking its head. Grants thunder element properties.,
1384,Namielle Lash,Material,rare11,"Very rare Namielle material. Obtained by carving its severed tail. Stiff, used to craft gear.",
1385,Namielle Hardclaw,Material,rare11,"Very rare Namielle material. Obtained by breaking its forelegs. Sharp, used in many weapons.",
1386,Unavailable,Normal,rare4,Unavailable,
1387,Unavailable,Normal,rare4,Unavailable,
1388,Unavailable,Normal,rare4,Unavailable,
1389,Unavailable,Normal,rare4,Unavailable,
1390,Unavailable,Normal,rare4,Unavailable,
1391,Unavailable,Normal,rare4,Unavailable,
1392,Unavailable,Normal,rare4,Unavailable,
1393,Unavailable,Normal,rare4,Unavailable,
1394,Unavailable,Normal,rare4,Unavailable,
1395,Shara Ishvalda Tenderscale,Material,rare11,Very rare Shara Ishvalda material. Mostly obtained by carving. Broadly used for its extreme versatility.,
1396,Shara Ishvalda Boulderplate,Material,rare11,"Very rare Shara Ishvalda material. Mostly obtained as a reward. Solid, used to craft gear.",
1397,Unavailable,Normal,rare4,Unavailable,
1398,Shara Ishvalda Tenderplate,Material,rare11,Very rare Shara Ishvalda material. Obtained by breaking its head. Used in many weapons.,
1399,Shara Ishvalda Petalstone,Material,rare11,Very rare Shara Ishvalda material. Obtained by collecting rare drops. Used to craft gear.,
1400,Shara Ishvalda Tenderclaw,Material,rare11,Very rare Shara Ishvalda material. Obtained by breaking its wingarms. Used in many weapons.,
1401,Shara Ishvalda Gem,Material,rare12,Very rare Shara Ishvalda material. Used to craft weapons powerful enough to take over the world.,
1402,Unavailable,Normal,rare4,Unavailable,
1403,Unavailable,Normal,rare4,Unavailable,
1404,Unavailable,Normal,rare4,Unavailable,
1405,Unavailable,Normal,rare4,Unavailable,
1406,Unavailable,Normal,rare4,Unavailable,
1407,Unavailable,Normal,rare4,Unavailable,
1408,Unavailable,Normal,rare4,Unavailable,
1409,Ancient Feystone,Material,rare9,A jewel that conceals an ancient power within it. <STYL MOJI_YELLOW_DEFAULT>(Appraisal Item)</STYL>,
1410,Carved Feystone,Material,rare10,A jewel that conceals immense power within it. <STYL MOJI_YELLOW_DEFAULT>(Appraisal Item)</STYL>,
1411,Sealed Feystone,Material,rare11,A jewel that conceals overwhelming power within it. <STYL MOJI_YELLOW_DEFAULT>(Appraisal Item)</STYL>,
1412,Decayed Scale,AccountItem,rare4,A dragon scale ravaged by time. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
1413,Luminous Scale,AccountItem,rare4,"A dragon scale that glows bright, despite the years it has weathered. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>",
1414,Old Dragon Treasure,AccountItem,rare9,"Stones hoarded by elder dragons. The older they are, the brighter they glow. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>",
1415,Unavailable,Normal,rare4,Unavailable,
1416,Unavailable,Normal,rare4,Unavailable,
1417,??? Shard,Material,rare11,A part from an unknown monster. You sense overwhelming power within it.,
1418,??? Boulderplate,Material,rare11,A part from an unknown monster. You sense overwhelming power within it.,
1419,??? Cortex,Material,rare11,A part from an unknown monster. You sense overwhelming power within it.,
1420,??? Rock,Material,rare11,A part from an unknown monster. You sense overwhelming power within it.,
1421,??? Hardclaw,Material,rare11,A part from an unknown monster. You sense overwhelming power within it.,
1422,Large ??? Gem,Material,rare12,A part from an unknown monster. You sense overwhelming power within it.,
1423,Unavailable,Normal,rare4,Unavailable,
1424,Unavailable,Normal,rare4,Unavailable,
1425,Unavailable,Normal,rare4,Unavailable,
1426,Unavailable,Normal,rare4,Unavailable,
1427,Unavailable,Normal,rare4,Unavailable,
1428,Unavailable,Normal,rare4,Unavailable,
1429,Unavailable,Normal,rare4,Unavailable,
1430,Unavailable,Normal,rare4,Unavailable,
1431,Celestial Wyverian Print,Material,rare9,"A ticket with a handprint, used by the First Wyverians. Exchange it for very rare materials at the Melding Pot.",
1432,Conqueror's Seal,Material,rare9,A prize claimed only by those who have overcome myriad trials. Proves the bearer's valor beyond question.,
1433,Research Commission Ticket+,Material,rare11,A ticket issued by the commander to those who greatly aid the Research Commission. Show it to the Smithy!,
1434,Banbaro Coin,Material,rare9,A coin given to those who have bested a Banbaro in the master rank Arena.,
1435,Paolumu Coin,Material,rare9,A coin given to those who have bested a Paolumu in the master rank Arena.,
1436,Nargacuga Coin,Material,rare9,A coin given to those who have bested a Nargacuga in the master rank Arena.,
1437,Glavenus Coin,Material,rare9,A coin given to those who have bested a Glavenus in the master rank Arena.,
1438,Odogaron Coin,Material,rare9,A coin given to those who have bested a Odogaron in the master rank Arena.,
1439,Zinogre Coin,Material,rare9,A coin given to those who have bested a Zinogre in the master rank Arena.,
1440,Black Belt Coin,Material,rare9,A black coin with an abyssal gleam awarded to those who complete master rank Arena quests.,
1441,Hero King Coin,Material,rare10,A gleaming golden coin awarded to those who complete especially tough master rank Arena quests.,
1442,Tigrex Coin,Material,rare11,A coin given to those who have bested a Tigrex in the master rank Arena.,
1443,Giant Scale,Material,rare9,Acquired by using the Bandit Mantle. Its size consistently amazes collectors. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>,
1444,Magnificent Scale,Material,rare10,Acquired by using the Bandit Mantle. Makes any collector's mouth water. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>,
1445,Boaboa Ticket,Material,rare9,Proof of friendship with the Lynians of the Hoarfrost Reach. Show it to the Smithy and see what happens!,
1446,Young Butterbur,AccountItem,rare2,A vegetable from the Hoarfrost Reach. A precious source of nutrients for tundra wildlife. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
1447,Exquisite Butterbur,AccountItem,rare3,Rare vegetable from the Hoarfrost Reach. Contains enough nutrients to warm the body to its core. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
1448,Millennium Butterbur,AccountItem,rare4,Rare vegetable from the Hoarfrost Reach. Miraculously bloomed after centuries of patient waiting. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
1449,Icebloom,AccountItem,rare2,A flower from the Hoarfrost Reach. Its petals are translucent as ice. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
1450,Moonlight Icebloom,AccountItem,rare3,Rare flower from the Hoarfrost Reach. It shimmers in the snowfields by moonlight. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
1451,Snowpeak Icebloom,AccountItem,rare4,Rare flower from the Hoarfrost Reach. Said to bloom after the fiercest of blizzards. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
1452,Snow White,AccountItem,rare4,Rare vegetable from the Hoarfrost Reach. This shoot was protected by the pure white snow. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
1453,Petalcryst,AccountItem,rare4,"Rare flower from the Hoarfrost Reach. Beautiful as any jewel, evanescent as a flake of snow. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>",
1454,EZ Dust of Life,Normal,rare2,Releases a cloud around you that restores a large amount of health. <STYL MOJI_YELLOW_DEFAULT>(Supply Item)</STYL>,
1455,Pearlspring Macaque,AccountItem,rare3,A species of monkey native to Hoarfrost Reach. Often seen keeping warm by luxuriating in hot springs.,
1456,Goldspring Macaque,AccountItem,rare4,A Pearlspring Macaque variant seen very rarely in the Reach. The cause of its coloration is under research.,
1457,Unavailable,AccountItem,rare4,Unavailable,
1458,Crowned Prawn,AccountItem,rare3,A bioluminescent bug found in dark caves. Its diet consists of algae and protozoans living in icemelt.,
1459,Moon Slug,AccountItem,rare3,"Found floating in caves by day, this species goes out foraging for food by night, which explains its name.",
1460,Duffel Penguin,AccountItem,rare3,These birds live in large flocks to defend against predators. Named for their extra-fluffy winter plumage.,
1461,Arrowhead Gekko,AccountItem,rare4,These lizards feed on the bugs that flock to fruit-bearing trees. Follow where their triangular heads point!,
